id,title,full_text,paragraphs,references,children
211.273-1,Removed.,,[],,
211.273-2,Removed.,,[],,
211.273-3,Removed.,,[],,
211.273-4,Removed.,,[],,
211.274,Item identification and valuation requirements.,,[],,"211.274-1,211.274-2,211.274-3,211.274-4,211.274-5,211.274-6"
211.274-1,General.,"Item unique identification and valuation is a system of marking, valuing, and tracking items delivered to DoD that enhances logistics, contracting, and financial business transactions supporting the United States and coalition troops.  Through item unique identification policy, which capitalizes on leading practices and embraces open standards, DoD—
(a)  Achieves lower life-cycle cost of item management and improves life-cycle property management;
(b)  Improves operational readiness;
(c)  Provides reliable accountability of property and asset visibility throughout the life cycle;
(d)  Reduces the burden on the workforce through increased productivity and efficiency; and
(e)  Ensures item level traceability throughout lifecycle to strengthen supply chain integrity, enhance cyber security, and combat counterfeiting.","['Item unique identification and valuation is a system of marking, valuing, and tracking items delivered to DoD that enhances logistics, contracting, and financial business transactions supporting the United States and coalition troops.  Through item unique identification policy, which capitalizes on leading practices and embraces open standards, DoD—', '(a)  Achieves lower life-cycle cost of item management and improves life-cycle property management;', '(b)  Improves operational readiness;', '(c)  Provides reliable accountability of property and asset visibility throughout the life cycle;', '(d)  Reduces the burden on the workforce through increased productivity and efficiency; and', '(e)  Ensures item level traceability throughout lifecycle to strengthen supply chain integrity, enhance cyber security, and combat counterfeiting.']",,
211.274-2,Policy for item unique identification.,"(a)  It is DoD policy that DoD item unique identification, or a DoD recognized unique identification equivalent, is required for all delivered items, including items of contractor-acquired property delivered on contract line items (see PGI 245.402-71 for guidance when delivery of contractor acquired property is required)—
(1)  For which the Government’s unit acquisition cost is $5,000 or more;
(2)  For which the Government’s unit acquisition cost is less than $5,000 when the requiring activity determines that item unique identification is required for mission essential or controlled inventory items; or
(3)  Regardless of value for any—
(i)  DoD serially managed item (reparable or nonreparable) or subassembly, component, or part embedded within a subassembly, component, or part;
(ii)  Parent item (as defined in 252.211-7003 (a)) that contains the embedded subassembly, component, or part;
(iii)  Warranted serialized item;
(iv)  Item of special tooling or special test equipment, as defined at FAR 2.101, for a major defense acquisition program that is designated for preservation and storage in accordance with the requirements of section 815 of the National Defense Authorization Act for Fiscal Year 2009 (Pub. L. 110-417); and
(v)  High risk item identified by the requiring activity as vulnerable to supply chain threat, a target of cyber threats, or counterfeiting.
(b) Exceptions .  The contractor will not be required to provide DoD item unique identification if—
(1)  The items, as determined by the head of the contracting activity, are to be used to support a contingency or humanitarian or peacekeeping operation; to facilitate defense against or recovery from nuclear, biological, chemical, or radiological attack; to facilitate the provision of international disaster assistance; or to support response to an emergency or major disaster; or
(2)  A determination and findings has been executed concluding that it is more cost effective for the Government requiring activity to assign, mark, and register the unique item identifier after delivery, and the item is either acquired from a small business concern, or is a commercial item acquired under FAR part 12 or part 8.
(i)  The determination and findings shall be executed by—
(A)  The Component Acquisition Executive for an acquisition category (ACAT) I program; or
(B)  The head of the contracting activity for all other programs.
(ii)  The DoD Unique Identification Policy Office must receive a copy of the determination and findings required by paragraph (b)(2)(i) of this subsection.  Follow the procedures at PGI 211.274-2 .","['(a)  It is DoD policy that DoD item unique identification, or a DoD recognized unique identification equivalent, is required for all delivered items, including items of contractor-acquired property delivered on contract line items (see PGI 245.402-71 for guidance when delivery of contractor acquired property is required)—', '(1)  For which the Government’s unit acquisition cost is $5,000 or more;', '(2)  For which the Government’s unit acquisition cost is less than $5,000 when the requiring activity determines that item unique identification is required for mission essential or controlled inventory items; or', '(3)  Regardless of value for any—', '(i)  DoD serially managed item (reparable or nonreparable) or subassembly, component, or part embedded within a subassembly, component, or part;', '(ii)  Parent item (as defined in 252.211-7003 (a)) that contains the embedded subassembly, component, or part;', '(iii)  Warranted serialized item;', '(iv)  Item of special tooling or special test equipment, as defined at FAR 2.101, for a major defense acquisition program that is designated for preservation and storage in accordance with the requirements of section 815 of the National Defense Authorization Act for Fiscal Year 2009 (Pub. L. 110-417); and', '(v)  High risk item identified by the requiring activity as vulnerable to supply chain threat, a target of cyber threats, or counterfeiting.', '(b) Exceptions .  The contractor will not be required to provide DoD item unique identification if—', '(1)  The items, as determined by the head of the contracting activity, are to be used to support a contingency or humanitarian or peacekeeping operation; to facilitate defense against or recovery from nuclear, biological, chemical, or radiological attack; to facilitate the provision of international disaster assistance; or to support response to an emergency or major disaster; or', '(2)  A determination and findings has been executed concluding that it is more cost effective for the Government requiring activity to assign, mark, and register the unique item identifier after delivery, and the item is either acquired from a small business concern, or is a commercial item acquired under FAR part 12 or part 8.', '(i)  The determination and findings shall be executed by—', '(A)  The Component Acquisition Executive for an acquisition category (ACAT) I program; or', '(B)  The head of the contracting activity for all other programs.', '(ii)  The DoD Unique Identification Policy Office must receive a copy of the determination and findings required by paragraph (b)(2)(i) of this subsection.  Follow the procedures at PGI 211.274-2 .']",252.211-7003,
211.274-3,Policy for valuation.,"(a)  It is DoD policy that contractors shall be required to identify the Government’s unit acquisition cost for all deliverable end items to which item unique identification applies.
(b)  The Government’s unit acquisition cost is—
(1)  For fixed-price type line, subline, or exhibit line items, the unit price identified in the contract at the time of delivery;
(2)  For cost-type or undefinitized line, subline, or exhibit line items, the contractor’s estimated fully burdened unit cost to the Government at the time of delivery; and
(3)  For items delivered under a time-and-materials contract, the contractor’s estimated fully burdened unit cost to the Government at the time of delivery.
(c)  The Government’s unit acquisition cost of subassemblies, components, and parts embedded in delivered items shall not be separately identified.","['(a)  It is DoD policy that contractors shall be required to identify the Government’s unit acquisition cost for all deliverable end items to which item unique identification applies.', '(b)  The Government’s unit acquisition cost is—', '(1)  For fixed-price type line, subline, or exhibit line items, the unit price identified in the contract at the time of delivery;', '(2)  For cost-type or undefinitized line, subline, or exhibit line items, the contractor’s estimated fully burdened unit cost to the Government at the time of delivery; and', '(3)  For items delivered under a time-and-materials contract, the contractor’s estimated fully burdened unit cost to the Government at the time of delivery.', '(c)  The Government’s unit acquisition cost of subassemblies, components, and parts embedded in delivered items shall not be separately identified.']",,
211.274-4,Policy for reporting of Government-furnished property.,"(a)  It is DoD policy that all Government-furnished property be recorded in the DoD Item Unique Identification (IUID) Registry, as defined in the clause at 252.211-7007 , Reporting of Government-Furnished Property.
(b)  The following items are not required to be reported:
(1)  Contractor-acquired property, as defined in FAR part 45.
(2)  Property under any statutory leasing authority.
(3)  Property to which the Government has acquired a lien or title solely because of partial, advance, progress, or performance-based payments.
(4)  Intellectual property or software.
(5)  Real property.
(6)  Property released as work in process.
(7)  Non-serial managed items (reporting is limited to receipt transactions only).","['(a)  It is DoD policy that all Government-furnished property be recorded in the DoD Item Unique Identification (IUID) Registry, as defined in the clause at 252.211-7007 , Reporting of Government-Furnished Property.', '(b)  The following items are not required to be reported:', '(1)  Contractor-acquired property, as defined in FAR part 45.', '(2)  Property under any statutory leasing authority.', '(3)  Property to which the Government has acquired a lien or title solely because of partial, advance, progress, or performance-based payments.', '(4)  Intellectual property or software.', '(5)  Real property.', '(6)  Property released as work in process.', '(7)  Non-serial managed items (reporting is limited to receipt transactions only).']",252.211-7007,
211.274-5,Policy for assignment of Government-assigned serial numbers.,"It is DoD policy that contractors apply Government-assigned serial numbers, such as tail numbers/hull numbers and equipment registration numbers, in human-readable format on major end items when required by law, regulation, or military operational necessity.  The latest version of MIL-STD-130, Marking of U.S. Military Property, shall be used for the marking of human-readable information.","['It is DoD policy that contractors apply Government-assigned serial numbers, such as tail numbers/hull numbers and equipment registration numbers, in human-readable format on major end items when required by law, regulation, or military operational necessity.  The latest version of MIL-STD-130, Marking of U.S. Military Property, shall be used for the marking of human-readable information.']",,
211.274-6,Contract clauses.,"(a)(1)  Use the clause at 252.211-7003 , Item Unique Identification and Valuation, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for supplies, and for services involving the furnishing of supplies, unless the conditions in 211.274-2 (b) apply.
(2)  Identify in paragraph (c)(1)(ii) of the clause the contract line, subline, or exhibit line item number and description of any item(s) below $5,000 in unit acquisition cost for which DoD item unique identification or a DoD recognized unique identification equivalent is required in accordance with 211.274-2 (a)(2).
(3)  Identify in paragraph (c)(1)(iii) of the clause the applicable attachment number, when DoD item unique identification or a DoD recognized unique identification equivalent is required in accordance with 211.274-2 (a)(3)(i) through (v).
(b)  Use the clause at 252.211-7007 , Reporting of Government-Furnished Property, in solicitations and contracts that contain the clause at FAR 52.245-1, Government Property.
(c)  Use the clause at 252.211-7008 , Use of Government-Assigned Serial Numbers, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, that—
(1)  Contain the clause at 252.211-7003 , Item Unique Identification and Valuation; and
(2)  Require the contractor to mark major end items under the terms and conditions of the contract.","['(a)(1)  Use the clause at 252.211-7003 , Item Unique Identification and Valuation, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for supplies, and for services involving the furnishing of supplies, unless the conditions in 211.274-2 (b) apply.', '(2)  Identify in paragraph (c)(1)(ii) of the clause the contract line, subline, or exhibit line item number and description of any item(s) below $5,000 in unit acquisition cost for which DoD item unique identification or a DoD recognized unique identification equivalent is required in accordance with 211.274-2 (a)(2).', '(3)  Identify in paragraph (c)(1)(iii) of the clause the applicable attachment number, when DoD item unique identification or a DoD recognized unique identification equivalent is required in accordance with 211.274-2 (a)(3)(i) through (v).', '(b)  Use the clause at 252.211-7007 , Reporting of Government-Furnished Property, in solicitations and contracts that contain the clause at FAR 52.245-1, Government Property.', '(c)  Use the clause at 252.211-7008 , Use of Government-Assigned Serial Numbers, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, that—', '(1)  Contain the clause at 252.211-7003 , Item Unique Identification and Valuation; and', '(2)  Require the contractor to mark major end items under the terms and conditions of the contract.']","252.211-7003,211.274-2,211.274-2,211.274-2,252.211-7007,252.211-7008,252.211-7003",
211.275,Reserved.,,[],,
211.500,Scope.,This subpart and FAR subpart 11.5 do not apply to liquidated damages for comprehensive subcontracting plans under the Test Program for Negotiation of Comprehensive Small Business Subcontracting Plans.  See 219.702-70 for coverage of liquidated damages for comprehensive subcontracting plans.,['This subpart and FAR subpart 11.5 do not apply to liquidated damages for comprehensive subcontracting plans under the Test Program for Negotiation of Comprehensive Small Business Subcontracting Plans.  See 219.702-70 for coverage of liquidated damages for comprehensive subcontracting plans.'],219.702-70,
211.503,Contract clauses.,"(b) Use the clause at FAR 52.211-12, Liquidated Damages—Construction, in all construction contracts exceeding $750,000, except cost-plus-fixed-fee contracts or contracts where the contractor cannot control the pace of the work. Use of the clause in contracts of $750,000 or less is optional.","['(b) Use the clause at FAR 52.211-12, Liquidated Damages—Construction, in all construction contracts exceeding $750,000, except cost-plus-fixed-fee contracts or contracts where the contractor cannot control the pace of the work. Use of the clause in contracts of $750,000 or less is optional.']",,
211.602,General.,"DoD implementation of the Defense Priorities and Allocations System is in DoDD 4400.1, Defense Production Act Programs.","['DoD implementation of the Defense Priorities and Allocations System is in DoDD 4400.1, Defense Production Act Programs.']",,
211.7001,Procedures.,"Follow the procedures
at PGI 211.7001 for developing and distributing purchase requests,
except for the requirements for Military Interdepartmental Purchase
Requests (DD Form 448) addressed in 253.208-1.","['Follow the procedures\nat PGI 211.7001 for developing and distributing purchase requests,\nexcept for the requirements for Military Interdepartmental Purchase\nRequests (DD Form 448) addressed in 253.208-1.']",,
246.101,Definitions.,"“Discipline Working Group,” as used in this subpart, is defined in the clause at 252.246-7004 , Safety of Facilities, Infrastructure, and Equipment for Military Operations.","['“Discipline Working Group,” as used in this subpart, is defined in the clause at 252.246-7004 , Safety of Facilities, Infrastructure, and Equipment for Military Operations.']",252.246-7004,
246.102,Policy.,"Departments and agencies shall also—
(1)  Develop and manage a systematic, cost-effective Government contract quality assurance program to ensure that contract performance conforms to specified requirements.  Apply Government quality assurance to all contracts for services and products designed, developed, purchased, produced, stored, distributed, operated, maintained, or disposed of by contractors.
(2)  Conduct quality audits to ensure the quality of products and services meet contractual requirements.
(3)  Base the type and extent of Government contract quality assurance actions on the particular acquisition.
(4)  Provide contractors the maximum flexibility in establishing efficient and effective quality programs to meet contractual requirements.  Contractor quality programs may be modeled on military, commercial, national, or international quality standards.","['Departments and agencies shall also—', '(1)  Develop and manage a systematic, cost-effective Government contract quality assurance program to ensure that contract performance conforms to specified requirements.  Apply Government quality assurance to all contracts for services and products designed, developed, purchased, produced, stored, distributed, operated, maintained, or disposed of by contractors.', '(2)  Conduct quality audits to ensure the quality of products and services meet contractual requirements.', '(3)  Base the type and extent of Government contract quality assurance actions on the particular acquisition.', '(4)  Provide contractors the maximum flexibility in establishing efficient and effective quality programs to meet contractual requirements.  Contractor quality programs may be modeled on military, commercial, national, or international quality standards.']",,
246.103,Contracting office responsibilities.,"(1)  The contracting office must coordinate with the quality assurance activity before changing any quality requirement.
(2)  The activity responsible for technical requirements may prepare instructions covering the type and extent of Government inspections for acquisitions that are complex, have critical applications, or have unusual requirements.  Follow the procedures at PGI 246.103 (2) for preparation of instructions.","['(1)  The contracting office must coordinate with the quality assurance activity before changing any quality requirement.', '(2)  The activity responsible for technical requirements may prepare instructions covering the type and extent of Government inspections for acquisitions that are complex, have critical applications, or have unusual requirements.  Follow the procedures at PGI 246.103 (2) for preparation of instructions.']",,
246.202,Types of contract quality requirements.,,[],,246.202-4
246.202-4,Higher-level contract quality requirements.,"(1)  Higher-level contract quality requirements are used in addition to a standard inspection requirement.
(2)  Higher-level contract quality requirements, including nongovernment quality system standards adopted to meet DoD needs, are listed in the DoD Index of Specifications and Standards.","['(1)  Higher-level contract quality requirements are used in addition to a standard inspection requirement.', '(2)  Higher-level contract quality requirements, including nongovernment quality system standards adopted to meet DoD needs, are listed in the DoD Index of Specifications and Standards.']",,
246.270,"Safety of facilities, infrastructure, and equipment for military operations.",,[],,"246.270-1,246.270-2,246.270-3,246.270-4"
246.270-1,Scope.,"This section implements section 807 of the National Defense Authorization Act for Fiscal Year 2010 (Pub. L. 111-84).  It establishes policies and procedures intended to ensure the safety and habitability of facilities, infrastructure, and equipment acquired for use by DoD military or civilian personnel during military operations performed outside the United States, Guam, Puerto Rico, and the Virgin Islands.","['This section implements section 807 of the National Defense Authorization Act for Fiscal Year 2010 (Pub. L. 111-84).  It establishes policies and procedures intended to ensure the safety and habitability of facilities, infrastructure, and equipment acquired for use by DoD military or civilian personnel during military operations performed outside the United States, Guam, Puerto Rico, and the Virgin Islands.']",,
246.270-2,Policy.,"(a)  Contracts (including task and delivery orders) for the construction, installation, repair, maintenance, or operation of facilities, infrastructure, and equipment configured for occupancy, including but not limited to, existing host nation facilities, new construction, and relocatable buildings acquired for use by DoD military or civilian personnel, shall require a pre-occupancy safety and habitability inspection.
(b)  To minimize safety and health risks, each contract covered by this policy shall require the contractor’s compliance with the Unified Facilities Criteria (UFC) 1-200-01 and its referenced standards for—
Fire protection;
Structural integrity;
Electrical systems;
Plumbing;
Water treatment;
Waste disposal; and
Telecommunications networks.
(c)  Existing host nation facilities constructed to standards equivalent to or more stringent than UFC 1-200-01 are acceptable upon a written determination of the acceptability of the standards by the Discipline Working Group.
(d)  Inspections to ensure compliance with UFC 1-200-01 standards shall be conducted in accordance with the inspection clause of the contract.","['(a)  Contracts (including task and delivery orders) for the construction, installation, repair, maintenance, or operation of facilities, infrastructure, and equipment configured for occupancy, including but not limited to, existing host nation facilities, new construction, and relocatable buildings acquired for use by DoD military or civilian personnel, shall require a pre-occupancy safety and habitability inspection.', '(b)  To minimize safety and health risks, each contract covered by this policy shall require the contractor’s compliance with the Unified Facilities Criteria (UFC) 1-200-01 and its referenced standards for—', 'Fire protection;', 'Structural integrity;', 'Electrical systems;', 'Plumbing;', 'Water treatment;', 'Waste disposal; and', 'Telecommunications networks.', '(c)  Existing host nation facilities constructed to standards equivalent to or more stringent than UFC 1-200-01 are acceptable upon a written determination of the acceptability of the standards by the Discipline Working Group.', '(d)  Inspections to ensure compliance with UFC 1-200-01 standards shall be conducted in accordance with the inspection clause of the contract.']",,
246.270-3,Exceptions.,The combatant commander may waive compliance with the foregoing standards when it is impracticable to comply with such standards under prevailing operational conditions.,['The combatant commander may waive compliance with the foregoing standards when it is impracticable to comply with such standards under prevailing operational conditions.'],,
246.270-4,Contract clause.,"Use the clause at 252.246-7004 , Safety of Facilities, Infrastructure, and Equipment for Military Operations, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for the construction, installation, repair, maintenance, or operation of facilities, infrastructure, or for equipment configured for occupancy, planned for use by DoD military or civilian personnel during military operations.","['Use the clause at 252.246-7004 , Safety of Facilities, Infrastructure, and Equipment for Military Operations, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for the construction, installation, repair, maintenance, or operation of facilities, infrastructure, or for equipment configured for occupancy, planned for use by DoD military or civilian personnel during military operations.']",252.246-7004,
246.370,Notification of potential safety issues.,"(a)  Use the clause at 252.246-7003 , Notification of Potential Safety Issues, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for the acquisition of—
(1)  Repairable or consumable parts identified as critical safety items;
(2)  Systems and subsystems, assemblies, and subassemblies integral to a system; or
(3)  Repair, maintenance, logistics support, or overhaul services for systems and subsystems, assemblies, subassemblies, and parts integral to a system.
(b)  Follow the procedures at PGI 246.370 for the handling of notifications received under the clause at 252.246-7003 .","['(a)  Use the clause at 252.246-7003 , Notification of Potential Safety Issues, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for the acquisition of—', '(1)  Repairable or consumable parts identified as critical safety items;', '(2)  Systems and subsystems, assemblies, and subassemblies integral to a system; or', '(3)  Repair, maintenance, logistics support, or overhaul services for systems and subsystems, assemblies, subassemblies, and parts integral to a system.', '(b)  Follow the procedures at PGI 246.370 for the handling of notifications received under the clause at 252.246-7003 .']","252.246-7003,252.246-7003",
246.401,General.,"The requirement for a quality assurance surveillance plan shall be addressed and documented in the contract file for each contract except for those awarded using simplified acquisition procedures.  For contracts for services, the contracting officer should prepare a quality assurance surveillance plan to facilitate assessment of contractor performance, see 237.172 .  For contracts for supplies, the contracting officer should address the need for a quality assurance surveillance plan.","['The requirement for a quality assurance surveillance plan shall be addressed and documented in the contract file for each contract except for those awarded using simplified acquisition procedures.  For contracts for services, the contracting officer should prepare a quality assurance surveillance plan to facilitate assessment of contractor performance, see 237.172 .  For contracts for supplies, the contracting officer should address the need for a quality assurance surveillance plan.']",237.172,
246.402,Government contract quality assurance at source.,"Do not require Government contract quality assurance at source for contracts or delivery orders valued below $350,000, unless—
(1) Mandated by DoD regulation;
(2) Required by a memorandum of agreement between the acquiring department or agency and the contract administration agency; or
(3) The contracting officer determines that—
(i) Contract technical requirements are significant (e.g., the technical requirements include drawings, test procedures, or performance requirements);
(ii) The product being acquired—
(A) Has critical characteristics;
(B) Has specific features identified that make Government contract quality assurance at source necessary; or
(C) Has specific acquisition concerns identified that make Government contract quality assurance at source necessary; and
(iii) The contract is being awarded to—
(A) A manufacturer or producer; or
(B) A non-manufacturer or non-producer and specific Government verifications have been identified as necessary and feasible to perform.","['Do not require Government contract quality assurance at source for contracts or delivery orders valued below $350,000, unless—', '(1) Mandated by DoD regulation;', '(2) Required by a memorandum of agreement between the acquiring department or agency and the contract administration agency; or', '(3) The contracting officer determines that—', '(i) Contract technical requirements are significant (e.g., the technical requirements include drawings, test procedures, or performance requirements);', '(ii) The product being acquired—', '(A) Has critical characteristics;', '(B) Has specific features identified that make Government contract quality assurance at source necessary; or', '(C) Has specific acquisition concerns identified that make Government contract quality assurance at source necessary; and', '(iii) The contract is being awarded to—', '(A) A manufacturer or producer; or', '(B) A non-manufacturer or non-producer and specific Government verifications have been identified as necessary and feasible to perform.']",,
246.404,Government contract quality assurance for acquisitions at or below the simplified acquisition threshold.,Do not require Government contract quality assurance at source for contracts or delivery orders valued at or below the simplified acquisition threshold unless the criteria at 246.402 have been met.,['Do not require Government contract quality assurance at source for contracts or delivery orders valued at or below the simplified acquisition threshold unless the criteria at 246.402 have been met.'],246.402,
246.406,Foreign governments.,"(1) Quality assurance among North Atlantic Treaty Organization (NATO) countries.
(i)  NATO Standardization Agreement (STANAG) 4107, Mutual Acceptance of Government Quality Assurance and Usage of the Allied Quality Assurance Publications—
(A)  Contains the processes, procedures, terms, and conditions under which one NATO member nation will perform quality assurance for another NATO member nation or NATO organization;
(B)  Standardizes the development, updating, and application of the Allied Quality Assurance Publications; and
(C)  Has been ratified by the United States and other nations in NATO with certain reservations identified in STANAG 4107.
(ii)  Departments and agencies shall follow STANAG 4107 when—
(A)  Asking a NATO member nation to perform quality assurance; or
(B) Performing quality assurance when requested by a NATO member nation or NATO organization.
(2) International military sales (non-NATO). Departments and agencies shall—
(i)  Perform quality assurance services on international military sales contracts or in accordance with existing agreements;
(ii)  Inform host or U.S. Government personnel and contractors on the use of quality assurance publications; and
(iii)  Delegate quality assurance to the host government when satisfactory services are available.
(3) Reciprocal quality assurance agreements. A Memorandum of Understanding (MOU) with a foreign country may contain an annex that provides for the reciprocal performance of quality assurance services.  MOUs should be checked to determine whether such an annex exists for the country where a defense contract will be performed.  (See Subpart 225.8 for more information about MOUs.)","['(1) Quality assurance among North Atlantic Treaty Organization (NATO) countries.', '(i)  NATO Standardization Agreement (STANAG) 4107, Mutual Acceptance of Government Quality Assurance and Usage of the Allied Quality Assurance Publications—', '(A)  Contains the processes, procedures, terms, and conditions under which one NATO member nation will perform quality assurance for another NATO member nation or NATO organization;', '(B)  Standardizes the development, updating, and application of the Allied Quality Assurance Publications; and', '(C)  Has been ratified by the United States and other nations in NATO with certain reservations identified in STANAG 4107.', '(ii)  Departments and agencies shall follow STANAG 4107 when—', '(A)  Asking a NATO member nation to perform quality assurance; or', '(B) Performing quality assurance when requested by a NATO member nation or NATO organization.', '(2) International military sales (non-NATO). Departments and agencies shall—', '(i)  Perform quality assurance services on international military sales contracts or in accordance with existing agreements;', '(ii)  Inform host or U.S. Government personnel and contractors on the use of quality assurance publications; and', '(iii)  Delegate quality assurance to the host government when satisfactory services are available.', '(3) Reciprocal quality assurance agreements. A Memorandum of Understanding (MOU) with a foreign country may contain an annex that provides for the reciprocal performance of quality assurance services.  MOUs should be checked to determine whether such an annex exists for the country where a defense contract will be performed.  (See Subpart 225.8 for more information about MOUs.)']",,
246.407,Nonconforming supplies or services.,"(f)  If nonconforming material or services are discovered after acceptance, the defect appears to be the fault of the contractor, any warranty has expired, and there are no other contractual remedies, the contracting officer—
(i)  Shall notify the contractor in writing of the nonconforming material or service;
(ii)  Shall request that the contractor repair or replace the material, or perform the service, at no cost to the Government; and
(iii)  May accept consideration if offered.  For guidance on solicitation of a refund, see Subpart 242.71.
(S-70)  The head of the design control activity is the approval authority for acceptance of any nonconforming aviation or ship critical safety items or nonconforming modification, repair, or overhaul of such items (see 209.270 ).  Authority for acceptance of minor nonconformances in aviation or ship critical safety items may be delegated as determined appropriate by the design control activity.  See additional information at PGI 246.407 .","['(f)  If nonconforming material or services are discovered after acceptance, the defect appears to be the fault of the contractor, any warranty has expired, and there are no other contractual remedies, the contracting officer—', '(i)  Shall notify the contractor in writing of the nonconforming material or service;', '(ii)  Shall request that the contractor repair or replace the material, or perform the service, at no cost to the Government; and', '(iii)  May accept consideration if offered.  For guidance on solicitation of a refund, see Subpart 242.71.', '(S-70)  The head of the design control activity is the approval authority for acceptance of any nonconforming aviation or ship critical safety items or nonconforming modification, repair, or overhaul of such items (see 209.270 ).  Authority for acceptance of minor nonconformances in aviation or ship critical safety items may be delegated as determined appropriate by the design control activity.  See additional information at PGI 246.407 .']",209.270,
246.408,Single-agency assignments of Government contract quality assurance.,,[],,"246.408-70,246.408-71"
